NAME,PRICE (cost)
2-DWR IRON BASE NIGHTSTAND,$250
2-DWR NIGHTSTAND,
3-DWR NIGHTSTAND,$350
4-DWRS NIGHTSTAND 2-SM 2-LG,$450
KACHINA NIGHTSTAND,$300
CHIHUAHUA NIGHTSTAND,$250
HACIENDA NIGHTSTAND,$550
COW HIDE NIGHTSTAND,
CROSS NIGHTSTAND,
CROSS NIGHTSTAND 1-DWR,$300
DENTAL MOULDING NIGHTSTAND,
FANCY TIN NIGHTSTAND,$250
FANCY TIN NIGHTSTAND 3 DRWS.,$350
FANCY TIN NIGHTSTAND 6 DRWS.,$450
GLASS & SLATTE NIGHTSTAND,$300
GLASS & TILE NIGHTSTAND,
GLASS NIGHTSTAND,$250
HONDO NIGHTSTAND,$550
MARIO'S NIGHTSTAND,$200
MULTIPANEL NIGHTSTAND,
NAIL NIGHTSTAND,$300
NIGHTSTAND W/ STAR,$250
CLASIC NIGHTSTAND,$250
PANEL NIGHTSTAND,
RAISE PANEL NIGHTSTAND,$250
RUSTIC 1-DWR NIGHTSTAND,$300
NIGHTSTAND,
TWIG NIGHTSTAND,
WESTER NIGHTSTAND,
HUTCH'S,$300
"48"" SANTA FE HUTCH",$550
"60"" SANTA FE HUTCH","$1,100"
"72"" SANTA FE HUTCH",
"48"" SANTA FE HUTCH W/FANCY TIN","$1,300"
"60"" SANTA FE HUTCH W/FANCY TIN","$1,500"
SHAKER TIN HUTCH,
CURIO HUTCH,$500
DOUBLE CURIO HUTCH,
TRASTERITO W/DOOR,$550
6 DRW. TRASTERITO,
SINGLE CD W/GLASS DOOR,$400
SINGLE CD W/IRON DOOR,$400
DOUBLE CD W/GLASS DOOR,$500
DOUBLE CD W/IRON DOOR,$500
TAOS CD W/GLASS DOOR,$400
TAOS CD W/IRON DOOR,$400
WESTER SINGLE CD,$400
WESTER DOUBLE CD,$500
WESTER DOUBLE CD W/IRON DOOR,$500
2 SLATTE SIDEBOARD W/FANCY TIN,$450
3 SLATTE SIDEBOARD W/FANCY TIN,$500
4 SLATTE SIDEBOARD W/FANCY TIN,$750
5 SLATTE SIDEBOARD W/FANCY TIN,$950
5 SLATTE SIDEBOARD W/FANCY TIN,$950
5 SLATTE SIDEBOARD W/FANCY TIN,$950
6 SLATTE SIDEBOARD W/FANCY TIN,"$1,100"
2-DOOR SLATTE SIDEBOARD,$450
3-DOOR SLATTE SIDEBOARD,$500
4-DOOR SLATTE SIDEBOARD,$750
5-DOOR SLATTE SIDEBOARD,$950
6-DOOR SLATTE SIDEBOARD,"$1,150"
2-DOOR SLATTE SIDEBOARD W/COOPER,$450
3-DOOR SLATTE SIDEBOARD W/COOPER,$500
4-DOOR SLATTE SIDEBOARD W/COOPER,$750
