Name,Price,Last update,Type,Client
FANCY TIN NIGHTSTAND,"$133,00",11/04/2026,Nightstand,CASA CRISTAL
CROSS NIGHTSTAND,"$115,00",11/04/2026,Nightstand,CASA CRISTAL
NAIL NIGHTSTAND,"$133,00",11/04/2026,Nightstand,CASA CRISTAL
CHIHUAHUA NIGHTSTAND,"$121,00",11/04/2026,Nightstand,CASA CRISTAL
MARIO'S NIGHTSTAND,"$75,00",11/04/2026,Nightstand,CASA CRISTAL
GLASS & TILE NIGHTSTAND,"$133,00",11/04/2026,Nightstand,CASA CRISTAL
3-DWRS FANCY TIN NIGHTSTAND,"$167,00",11/04/2026,Nightstand,CASA CRISTAL
6-DRWS FANCY TIN NIGHTSTAND,"$282,00",11/04/2026,Nightstand,CASA CRISTAL
2-DRW IRON BASE NIGHTSTAND,"$138,00",11/04/2026,Nightstand,CASA CRISTAL
KACHINA NIGHTSTAND,"$179,00",11/04/2026,Nightstand,CASA CRISTAL
KACHINA NIGHTSTAND DOUBLE,"$242,00",11/04/2026,Nightstand,CASA CRISTAL
"48"" SANTA FE HUTCH","$564,00",11/04/2026,hutch's,CASA CRISTAL
"60"" SANTA FE HUTCH","$679,00",11/04/2026,hutch's,CASA CRISTAL
"72"" SANTA FE HUTCH","$794,00",11/04/2026,hutch's,CASA CRISTAL
CURIO HUTCH,"$207,00",11/04/2026,hutch's,CASA CRISTAL
CURIO HUTCH SINGLE TOP ONLY,"$110,00",11/04/2026,hutch's,CASA CRISTAL
CURIO HUTCH SINGLE BOTTOM ONLY,"$121,00",11/04/2026,hutch's,CASA CRISTAL
CURIO HUTCH DOUBLE,"$282,00",11/04/2026,hutch's,CASA CRISTAL
CURIO HUTCH DOUBLE BOTTOM ONLY,"$156,00",11/04/2026,hutch's,CASA CRISTAL
CURIO HUTCH DOUBLE TOP ONLY,"$144,00",11/04/2026,hutch's,CASA CRISTAL
"SANTA FE HUTCH BOTTOM ONLY 48""","$334,00",11/04/2026,hutch's,CASA CRISTAL
"SANTA FE HUTCH BOTTOM ONLY 60""","$391,00",11/04/2026,hutch's,CASA CRISTAL
